DGCODE;GRPCODE;DGNAME;MKBCODE
10002533;10000155;Болезнь, вызванная ВИЧ, с проявлениями неуточненных злокачественных новообразований;B21.9
10002534;10000156;Болезнь, вызванная ВИЧ, с проявлениями энцефалопатии;B22.0
10002535;10000156;Болезнь, вызванная ВИЧ, с проявлениями лимфатического интерстициального пневмонита;B22.1
10002536;10000156;Болезнь, вызванная ВИЧ, с проявлениями изнуряющего синдрома;B22.2
10002537;10000156;Болезнь, вызванная ВИЧ, с проявлениями множественных болезней, классифицированных в других рубриках;B22.7
10002538;10000157;Острый ВИЧ-инфекционный синдром;B23.0
10002539;10000157;Болезнь, вызванная ВИЧ, с проявлениями (персистентной) генерализованной лимфаденопатии;B23.1
10002540;10000157;Болезнь, вызванная ВИЧ, с проявлениями гематологических и иммунологических нарушений, не классифицированных в других рубриках;B23.2
10002541;10000157;Болезнь, вызванная ВИЧ, с проявлениями других уточненных состояний;B23.8
10002542;10000159;Цитомегаловирусный пневмонит (J17.1*);B25.0+
10002543;10000159;Цитомегаловирусный гепатит (K77.0*);B25.1+
10002544;10000159;Цитомегаловирусный панкреатит (K87.1*);B25.2+
10002545;10000159;Другие цитомегаловирусные болезни;B25.8
10002546;10000159;Цитомегаловирусная болезнь неуточненная;B25.9
10002547;10000160;Паротитный орхит (N51.1*);B26.0+
